abnormal	2016-04-12	VEU
AGG	0.09781906832148048	0.23675625450909138
ITOT	0.09890558618854875	0.2664563951641321
VEU	0.09976881794366466	0.258994697779417
VNQ	0.09248207604356938	0.23779265753924847
normal	2016-04-12
AGG	0.09213159999648929	0.24594073325395585
FXG	0.09028067243404232	0.28805529437959193
ITOT	0.09168985585130925	0.24324379272758961
VNQ	0.07416035085564421	0.2227601806819439
abnormal	2018-05-15	ITOT
AGG	0.08467149232165423	0.2122842650860548
FXG	0.09418168236027998	0.26267238467931747
ITOT	0.10864819174300355	0.2701460927724838
VNQ	0.10106724337770047	0.25489726930856704
normal	2017-02-02
AGG	0.08409732307946755	0.23450624905526637
ITOT	0.09254235846149556	0.28931869246065617
VEU	0.08981591159369552	0.2542965819686651
VNQ	0.08056735104077133	0.22187848672270774
abnormal	2017-04-20	VNQ
AGG	0.09959379786790774	0.2517357112467289
ITOT	0.09706701600830545	0.25480476431548593
VEU	0.09596979040346741	0.24629854805767537
VNQ	0.10080847654445847	0.24716098934412004
normal	2017-04-20
AGG	0.09423134977890084	0.23676852084696293
ITOT	0.09554685468681612	0.2687336924672127
RWJ	0.10252123000213265	0.28592063874006274
VEU	0.07409133753069773	0.20857715159654616
abnormal	2018-03-20	RWJ
AGG	0.08183314989266534	0.20255423411726953
ITOT	0.10333227986673411	0.27821364045143127
RWJ	0.11265229480561902	0.2788184939324856
VEU	0.0887415149048921	0.24041364148259162
normal	2017-04-21
AGG	0.09291583429244708	0.239731410369277
ITOT	0.09099364427953673	0.2558761590719223
VEU	0.11020998259059504	0.2524912466853857
VNQ	0.09530622829271908	0.25190119102597236
abnormal	2017-04-21	VEU
AGG	0.09291583429244708	0.239731410369277
ITOT	0.09099364427953673	0.2558761590719223
VEU	0.11020998259059504	0.2524912466853857
VNQ	0.09530622829271908	0.25190119102597236
normal	2017-04-21
ACWI	0.08101044758719185	0.2200155648589134
AGG	0.1037235131414218	0.3027243396639824
ITOT	0.08983436585514715	0.22766936503350735
VNQ	0.09200017480469265	0.24959074199199677
abnormal	2017-09-19	ACWI
ACWI	0.10093796067499314	0.24610793128609657
AGG	0.09486749601306846	0.25392248198390005
ITOT	0.09466901092172314	0.25461961567401886
VNQ	0.09754755625914996	0.24534998260438443
normal	2017-04-24
AGG	0.08705507274277507	0.23374053880572318
ITOT	0.09356704311094115	0.2691502767801285
VEU	0.08451346644408535	0.24858338184654713
VNQ	0.09194297759343338	0.24852581046521663
abnormal	2017-05-30	ITOT
AGG	0.0918509106725607	0.2317492213845253
ITOT	0.11227655801510075	0.30475944735109806
VEU	0.10698101201539705	0.2533941189944744
VNQ	0.07687011439802766	0.2100972207635641
normal	2017-05-30
AGG	0.08832571593492605	0.23891536459326745
FXR	0.09845601012677188	0.2974963431060314
VEU	0.08419157724917717	0.2389519353210926
VNQ	0.09220218287834389	0.22463636130094528
abnormal	2019-03-14	AGG
AGG	0.10617971578254322	0.24156309694051742
FXR	0.09902677332541682	0.27059344090521337
VEU	0.10097974339391452	0.2376652763783932
VNQ	0.09985895861824685	0.2501782004535198
normal	2017-05-31
AGG	0.09842475473787171	0.2436459193378687
ITOT	0.0969614168053173	0.3080890911817551
VEU	0.08778984605460498	0.2571695371717215
VNQ	0.05995623046161304	0.19109545275568962
abnormal	2018-11-29	ITOT
AGG	0.08569978682058352	0.2299258991330862
ITOT	0.10294136959024681	0.25911350712180137
VEU	0.09880641722993747	0.24721488490700722
VNQ	0.10214184811939099	0.26374571934342383
normal	2018-11-29
AGG	0.08287048766036587	0.21509619675576686
QQQ	0.09425075795568504	0.25612928107380867
VEU	0.1002570629660917	0.3023838642239571
VNQ	0.07952827347003168	0.22639066249132156
abnormal	2018-12-04	QQQ
AGG	0.0927020721807025	0.23716969169676305
QQQ	0.10537116663098611	0.278500724285841
VEU	0.09840187160858628	0.24697938703000547
VNQ	0.0917430685774315	0.23735020205378532
normal	2018-12-04
AGG	0.07374461363829575	0.22097680293023586
DIA	0.10275732352937701	0.2835282139480114
VEU	0.09154741625504878	0.2503190987557173
VNQ	0.09727079826845769	0.24517589420080185
abnormal	2020-06-26	VEU
AGG	0.08827242957342056	0.22006626091897488
DIA	0.0987528076407727	0.25706602856516836
VEU	0.10079173222198072	0.2660950070619583
VNQ	0.09774421847807718	0.2567727115750313
normal	2019-02-01
AGG	0.0980972834009472	0.2759445634484291
ITOT	0.09890114672843871	0.29119971811771395
VEU	0.07448369247382253	0.216895629838109
VNQ	0.08321345414222517	0.21596009232103824
abnormal	2019-03-13	ITOT
AGG	0.10310690080896277	0.25985773026943204
ITOT	0.10944765885250912	0.2751390219479799
VEU	0.08065092792583436	0.21720756851136686
VNQ	0.09510140076852538	0.24779568932950496
normal	2019-03-13
AGG	0.08321209133860547	0.2229077998548746
RZG	0.10083416986230705	0.2665466279536486
VEU	0.09672910425738511	0.2667793773859739
VNQ	0.09826115570428462	0.24376619897782803
abnormal	2019-03-18	RZG
AGG	0.0950949252949869	0.24632591500878334
RZG	0.10359187261411362	0.2597466506063938
VEU	0.09552964213450205	0.24022651135921477
VNQ	0.09983969222117128	0.253700934946537
normal	2019-03-14
AGG	0.0914730083382031	0.24056411653757095
ITOT	0.09904615040616735	0.2814444476366043
VEU	0.07750142303412218	0.22673305608332156
VNQ	0.10302810811373793	0.25125838376581666
abnormal	2019-08-20	ITOT
AGG	0.09435051317072962	0.2445809829235077
ITOT	0.10342536702474443	0.25035963878035544
VEU	0.09453002867744234	0.24799635589122773
VNQ	0.09920862944838366	0.25706302538514136
normal	2019-08-20
