model_00
2016-01-13	GLD	0.0933362530179434	0.2123727920651436
2016-02-04	DBC	0.08988390954391032	0.2045540801435709
2016-03-03	TLT	0.09012533061606283	0.21767985872924328
2016-08-17	VTI	0.0924398310016574	0.20876439034938812
2017-01-05	GLD	0.09024696837009308	0.2220992189645767
2018-05-02	VTI	0.09250040291739847	0.21479879148304462
2018-09-25	DBC	0.09248051598587126	0.20985354743897916
2019-02-20	IEF	0.09304782070489107	0.2113288712501526
2019-07-23	TLT	0.09048391307352975	0.21071806341409682
2019-12-12	TLT	0.09369773445405943	0.20794439606368542
2020-02-24	VTI	0.09242363414572387	0.21347353234887123
2020-04-24	TLT	0.09004515169513111	0.21246609948575496
2020-06-26	TLT	0.08966867180732581	0.20496587321162224
2020-09-02	GLD	0.09063282894293141	0.22320424027740957
2020-10-23	GLD	0.0915966966394929	0.20684149265289306
model_01
2016-02-29	SIJ	0.09076614717884934	0.2113263239711523
2016-08-19	VTI	0.09000450135950543	0.21529675863683223
2017-09-15	VTI	0.09105294839145907	0.2145797272026539
2017-10-03	SIJ	0.09122627115116697	0.22255613826215268
2017-12-19	TLT	0.09170726460139414	0.21166552603244781
2018-06-06	IEF	0.09010385698681579	0.22338190257549287
2019-02-21	SIJ	0.09133205992209995	0.21175143867731094
2019-04-15	VTI	0.08988907091203688	0.21187727086246014
2019-08-12	DBC	0.09038411115171005	0.21745302997529506
2019-10-01	TLT	0.09135191339115527	0.22589266069233419
2019-11-04	VTI	0.09281575288405321	0.21631024785339834
2020-05-04	DBC	0.08982177919753015	0.22670489229261875
2020-05-20	IEF	0.08959905147113031	0.210756021887064
model_02
2016-08-12	TLT	0.09371759802584359	0.21264337845146655
2016-09-09	TLT	0.08978523130254415	0.21269197270274162
2016-11-11	TLT	0.09106122152286908	0.21280353538691998
2017-02-22	VTI	0.09014378299342787	0.22498157531023025
2017-05-09	TLT	0.09020842203922047	0.21210084430873394
2017-05-26	PVI	0.09355218120233198	0.21775450728833676
2018-04-12	DBC	0.08978202720198174	0.21366540513932705
2018-06-15	TLT	0.09014845817638877	0.210985257178545
2018-09-11	VTI	0.09287770914783221	0.2166957027465105
2019-01-28	DBC	0.08985006062533425	0.20583190731704235
2019-04-02	VTI	0.09251368404250025	0.21580019287765026
2019-06-07	VTI	0.0897369123686735	0.2053008909523487
2019-08-09	PVI	0.09221239164341569	0.21352045759558677
2019-12-06	TLT	0.0921529694455342	0.22746467746794224
2020-04-13	TLT	0.09017135274111089	0.20260877788066864
2020-07-10	VTI	0.09008069866919964	0.21206295646727086
2020-07-14	IEF	0.09049451872843609	0.2119337322562933
2020-12-03	VTI	0.09050624327333796	0.21355442821979523
model_03
2016-08-16	PVI	0.09147617432391186	0.20828926838934422
2017-01-17	VTI	0.09094231538116174	0.21446304611861705
2017-10-31	DBC	0.08987263075306631	0.23078643947839736
2018-01-04	IEF	0.09047978672888195	0.20297931134700775
2018-01-31	IEF	0.09112463235723438	0.21165905013680458
2018-08-14	IEF	0.08974713313395405	0.20280772909522057
2018-10-05	PVI	0.09158239519758521	0.215648460611701
2019-04-25	DBC	0.09224515917200864	0.2189855784922838
2019-05-31	EWP	0.09229088918255833	0.2214003426581621
2019-07-25	IEF	0.08963462482964885	0.21493409521877765
2019-11-26	PVI	0.09161036074908643	0.20731095008552075
2019-12-11	VTI	0.08991953670109128	0.216088582649827
2020-03-20	PVI	0.09071294717169186	0.2204539754986763
2020-03-31	VTI	0.09084765030555028	0.2108109948039055
2020-06-25	EWP	0.09184985533428862	0.2171433861553669
2020-09-11	DBC	0.08981832975711952	0.20010295674204825
model_04
2016-01-06	FXI	0.0896200999885557	0.20673501521348953
2016-01-21	DBC	0.09383999600424912	0.20801604077219962
2016-04-29	DBC	0.09053449447030645	0.22236193642020224
2016-10-17	VTI	0.0900709437008379	0.21029852978885175
2017-03-29	VTI	0.0909337299193234	0.21494314357638358
2017-05-05	VTI	0.08980394774052183	0.21566421017050744
2017-07-14	IEF	0.09391670371785912	0.21463274985551833
2017-09-12	IEF	0.09319583266640812	0.21896311603486537
2017-10-17	FXI	0.09025869378509417	0.21557208634912967
2017-10-18	EWP	0.09161584607310409	0.21291457243263723
2017-10-26	IEF	0.09151933179344393	0.2061078593879938
2018-03-12	VTI	0.0901010845577062	0.21670857161283494
2018-09-04	VTI	0.0901715662225786	0.20745230346918106
2019-01-31	DBC	0.0921600190989504	0.2011095241457224
2019-03-19	VTI	0.09022558920561226	0.21342491678893566
2019-09-27	FXI	0.08987448711686527	0.2118499291688204
2019-10-24	DBC	0.08992129870637584	0.22553562946617603
2019-10-25	EWP	0.09195364431527618	0.21278905898332595
2020-01-09	EWP	0.0905273884072708	0.20935042604804038
2020-03-24	IEF	0.09089001607237228	0.2104382583498955
2020-08-31	EWP	0.08973867292197496	0.21114420503377915
2020-11-02	IEF	0.09252633064931604	0.22438747495412825
model_05
2016-03-21	EWP	0.09144974903110858	0.2154294639825821
2016-05-02	IEF	0.09071851723489581	0.21053139068186283
2016-09-13	FXI	0.09019455459545722	0.21736393816769123
2017-03-02	DBC	0.09040517283353336	0.21207975536584855
2017-07-14	IEF	0.09012822337343764	0.22359659917652608
2017-12-27	EWP	0.09188748888256666	0.2053413236886263
2017-12-29	DBC	0.09037151263094703	0.21126714043319225
2018-04-25	IEF	0.08984901712698273	0.21402213484048843
2019-05-20	EWP	0.09124941292708745	0.2110256738960743
2019-06-25	IEF	0.08998207400127024	0.22691585905849934
2019-07-15	GBF	0.09119081808176487	0.20782407261431218
