abnormal	2016-01-13	GLD
DBC	0.07941610651779332	0.20148656226694583
GLD	0.09333625301794339	0.2123727920651436
IEF	0.07673596338124415	0.1957736361771822
TLT	0.0793568995397711	0.19778744660317898
VTI	0.0743803755835618	0.19257956378161908
abnormal	2016-01-13	GLD
DBC	0.07941610651779332	0.20148656226694583
GLD	0.09333625301794339	0.2123727920651436
IEF	0.07673596338124415	0.1957736361771822
TLT	0.0793568995397711	0.19778744660317898
VTI	0.0743803755835618	0.19257956378161908
normal	2016-01-13
DBC	0.07729124015014462	0.1972770943492651
IEF	0.07602878528760731	0.2097485437989235
SIJ	0.07949480743166801	0.20686635464429856
TLT	0.06931571000952035	0.1913295368850231
VTI	0.07513606412194217	0.1947784698754549
abnormal	2016-02-29	SIJ
DBC	0.07459014403302193	0.1983213372528553
IEF	0.0840710494956001	0.20170196004211902
SIJ	0.09076614717884936	0.2113263239711523
TLT	0.07459161429070563	0.19072232648730278
VTI	0.07586628299145497	0.19792804799973965
normal	2016-02-29
DBC	0.07508656887897508	0.200833021402359
IEF	0.07432021003391752	0.19752817623317243
PVI	0.07682232800288902	0.19964216820895672
TLT	0.07665829116908657	0.20246357075870036
VTI	0.06594957911354117	0.1995330636948347
abnormal	2016-08-12	TLT
DBC	0.07593659274333624	0.18413556650280952
IEF	0.08300618042319187	0.20693519912660122
PVI	0.06682216696621789	0.19328210800886153
TLT	0.09371759802584359	0.21264337845146655
VTI	0.07352007758415394	0.20300374805927277
normal	2016-08-12
DBC	0.07337550414015473	0.1963595689833164
EWP	0.0821013110765002	0.2125970870256424
IEF	0.07099775738917544	0.19170521169900895
PVI	0.07589685805987872	0.19229402996599673
VTI	0.08300279477029443	0.2070441009104252
abnormal	2016-08-16	PVI
DBC	0.07744025041065945	0.2022921086847782
EWP	0.07776411945106602	0.19112931162118912
IEF	0.07788823904279812	0.1988474839925766
PVI	0.09147617432391189	0.20828926838934422
VTI	0.07426898333226652	0.19944182313978673
normal	2016-08-16
DBC	0.07794515950961921	0.1975168686360121
EWP	0.08814962579685826	0.20875369884073736
FXI	0.07781744792862837	0.20417356736958026
IEF	0.08545503866233893	0.19302478760480882
VTI	0.07578824997061788	0.1965310803055763
abnormal	2016-10-17	VTI
DBC	0.07795478697314794	0.20303384438157082
EWP	0.06743294847622448	0.19105617299675942
FXI	0.07558022356359799	0.19920886509120464
IEF	0.0818738304330685	0.1964025930315256
VTI	0.0900709437008379	0.21029852978885175
normal	2016-10-17
DBC	0.0770777208355191	0.20617752186954022
EWP	0.077604442711229	0.19849388398230075
FXI	0.0786279122402742	0.19792392246425153
GBF	0.06910364724019405	0.18786246940493584
IEF	0.07952894907772319	0.20954220212996005
abnormal	2017-03-02	DBC
DBC	0.09040517283353336	0.21207975536584855
EWP	0.07735656214020946	0.19331373080611228
FXI	0.07468203217084092	0.19324593760073186
GBF	0.07910804555612201	0.20231769762933255
IEF	0.07520588371463226	0.19904288031160833
normal	2017-03-02
EWP	0.07581263029890732	0.2002756993472576
FXI	0.07418309932207663	0.20341681569814682
GBF	0.07439051047875367	0.20233450658619404
IEF	0.0727810260300804	0.19811936795711518
PLW	0.07362877114899907	0.1958536134660244
abnormal	2017-04-19	PLW
EWP	0.07631598542059136	0.1959286803007126
FXI	0.06756349231411649	0.19402873016893862
GBF	0.07877413171479074	0.20506736561655997
IEF	0.06623496168389907	0.1877263457328081
PLW	0.09056803478738346	0.2172488834708929
normal	2017-04-19
EWP	0.07966134043039091	0.2083202202618122
FXI	0.0754687290116816	0.18795880861580372
GBF	0.06754627745281729	0.20246590107679366
IAI	0.07801319601022808	0.19697319827973842
IEF	0.07274574671867705	0.20428187243640422
abnormal	2018-03-22	EWP
EWP	0.09341334144678579	0.2157916120439768
FXI	0.07626645003674	0.2051717407256365
GBF	0.06737064578021827	0.19456270575523377
IAI	0.07352899083212783	0.1978908181935549
IEF	0.06860441837617423	0.18658312261104584
normal	2018-03-22
FEZ	0.07023358360646137	0.20474112696945668
FXI	0.07260863168188991	0.2005047205835581
GBF	0.0762600568059147	0.19723606027662755
IAI	0.06315902734113878	0.19117712311446666
IEF	0.07853525441226265	0.20634096853435038
abnormal	2018-05-07	IEF
FEZ	0.07777847963096338	0.19385136850178242
FXI	0.06819587872247537	0.19083799429237844
GBF	0.08131753701361275	0.19553071446716785
IAI	0.07925912701827224	0.19982627145946025
IEF	0.08964424247065744	0.21995365411043166
normal	2018-05-07
FEZ	0.07203269929535472	0.1968680328130722
FXI	0.07233987345969228	0.19444528609514236
GBF	0.07378886204067116	0.19687159344553948
IAI	0.07984842607535562	0.20613534033298492
IGN	0.08210656309322996	0.20567974872887135
abnormal	2018-05-11	FXI
FEZ	0.07206150585852529	0.2034374798834324
FXI	0.09079677846966352	0.20754720695316792
GBF	0.0670157200638031	0.19313714005053043
IAI	0.07325765029073954	0.19647225804626942
IGN	0.06672527834824776	0.1994059156626463
normal	2018-05-11
FEZ	0.0763144603915989	0.20546737402677537
GBF	0.07378541116670718	0.20474275842308998
IAI	0.07487297149553261	0.1970698794722557
IGN	0.07085610274439043	0.1950418920069933
RJA	0.08013756958841528	0.19767809584736823
abnormal	2018-05-22	GBF
FEZ	0.08195363231519984	0.21222130492329597
GBF	0.09026517839152193	0.2248787871003151
IAI	0.07578345615657826	0.2010755727440119
IGN	0.06694874959783555	0.18579899735748767
RJA	0.06432384161095073	0.1760253392159939
normal	2018-05-22
FEZ	0.07809999204249017	0.19916218407452108
IAI	0.0736206451873618	0.19985810227692127
IGN	0.06854046697596403	0.19209432780742644
